iter	RMSE
0	4568.929398
1	4482.986759
2	4184.223177
3	3994.888602
4	3994.888584
5	3994.888571
6	3987.777887
7	3983.488463
8	3896.695683
9	3896.695675
10	3702.474017
11	3702.47401
12	3702.474005
13	3684.676599
14	3628.808985
15	3627.906472
16	3601.788562
17	3513.581304
18	3475.616754
19	3475.616729
20	3475.616711
21	3475.616699
22	3467.060862
23	3467.060855
24	3412.019998
25	3296.417997
26	3220.391343
27	3220.391338
28	3164.815595
29	3155.578097
30	3138.465282
31	3122.988333
32	3122.988331
33	3049.917129
34	3022.585016
35	2946.718909
36	2910.24927
37	2909.598384
38	2909.246516
39	2898.500655
40	2898.500653
41	2890.720104
42	2890.720103
43	2868.876306
44	2864.873531
45	2851.840294
46	2851.840293
47	2851.840292
48	2843.473233
49	2839.139895
50	2834.747671
51	2834.747671
52	2834.74767
53	2834.74767
54	2820.744649
55	2820.744649
56	2820.6155
57	2810.933903
58	2792.813546
59	2769.649477
60	2769.457885
61	2769.323938
62	2752.377189
63	2740.758114
64	2736.348105
65	2728.00631
66	2707.593761
67	2707.593761
68	2707.519471
69	2707.519471
70	2700.454477
71	2694.43487
72	2694.43487
73	2694.43487
74	2694.43487
75	2676.959184
76	2676.959181
77	2675.19781
78	2663.849486
79	2634.747541
80	2628.020504
81	2627.943996
82	2620.360703
83	2620.360696
84	2620.360691
85	2618.478209
86	2613.986622
87	2611.790777
88	2596.969908
89	2596.969905
90	2594.276033
91	2594.209885
92	2594.16243
93	2587.084037
94	2581.438126
95	2569.684568
96	2569.684568
97	2559.169287
98	2550.345593
99	2543.274593
100	2543.274593
101	2539.227363
102	2539.227363
103	2539.206483
104	2534.764707
105	2534.764707
106	2534.764706
107	2534.764706
108	2533.523486
109	2532.174533
110	2531.497224
111	2527.353453
112	2524.988351
113	2520.872372
114	2519.923568
115	2519.923568
116	2519.923568
117	2515.091975
118	2515.074425
119	2513.882073
120	2513.862573
121	2513.848725
122	2512.82269
123	2512.82269
124	2511.615325
125	2511.615324
126	2511.512986
127	2507.051195
128	2507.051195
129	2506.224965
130	2504.84005
131	2504.84005
132	2504.39187
133	2502.279246
134	2502.279246
135	2467.21918
136	2467.219144
137	2467.219117
138	2466.414045
139	2466.414031
140	2463.104247
141	2462.969691
142	2460.647149
143	2460.647145
144	2460.647142
145	2443.954965
146	2443.022712
147	2434.436863
148	2434.012769
149	2432.401417
150	2430.331162
151	2430.331162
152	2429.526229
153	2429.526229
154	2429.320181
155	2427.99504
156	2424.407313
157	2421.242817
158	2417.848015
159	2416.273287
160	2412.640692
161	2412.640692
162	2412.364321
163	2410.42807
164	2410.42807
165	2410.423356
