iter	Passed	Remaining
0	1	1145
1	2	1291
2	3	1298
3	5	1326
4	5	1159
5	6	1044
6	7	1024
7	7	967
8	8	964
9	9	918
10	10	958
11	11	914
12	11	876
13	12	867
14	14	942
15	15	940
16	16	949
17	17	959
18	19	990
19	20	981
20	20	966
21	21	952
22	22	942
23	22	931
24	23	928
25	25	947
26	26	952
27	27	938
28	27	936
29	28	928
30	29	919
31	30	908
32	30	897
33	31	900
34	32	899
35	34	918
36	35	934
37	36	929
38	37	927
39	38	929
40	39	919
41	40	918
42	41	920
43	42	924
44	43	928
45	44	923
46	45	913
47	45	904
48	46	901
49	47	903
50	48	895
51	48	887
52	49	879
53	49	872
54	51	878
55	51	874
56	52	871
57	53	870
58	57	909
59	59	934
60	60	938
61	63	959
62	66	987
63	68	997
64	69	1006
65	71	1018
66	75	1053
67	77	1061
68	78	1054
69	78	1046
70	79	1038
71	80	1031
72	80	1022
73	81	1014
74	81	1005
75	82	1006
76	83	1002
77	84	1000
78	85	998
79	86	997
80	87	994
81	88	989
82	89	988
83	89	981
84	90	973
85	91	968
86	92	967
87	92	961
88	94	963
89	94	957
90	95	954
91	96	949
92	96	943
93	98	945
94	99	946
95	100	948
96	101	942
97	102	946
98	104	947
99	105	947
100	105	941
101	106	940
102	107	935
103	108	932
104	110	938
105	110	936
106	111	932
107	112	928
108	113	927
109	114	924
110	115	921
111	116	921
112	117	919
113	117	916
114	118	915
115	119	910
116	120	906
117	121	906
118	122	904
119	122	901
120	123	899
121	124	897
122	125	895
123	126	892
124	127	890
125	127	887
126	128	884
127	129	884
128	130	880
129	131	880
130	132	877
131	132	873
132	133	871
133	134	871
134	135	867
135	136	868
136	137	864
137	137	860
138	138	859
139	139	855
140	140	853
141	140	851
142	142	854
143	143	851
144	143	847
145	145	849
146	146	848
147	148	852
148	148	850
149	150	851
150	151	853
151	152	850
152	154	852
153	154	850
154	156	851
155	157	851
156	158	852
157	159	851
158	161	853
159	162	855
160	163	854
161	164	850
162	165	848
163	166	846
164	166	843
165	167	840
166	168	840
167	169	838
168	169	835
169	170	833
170	171	830
171	172	828
172	172	824
173	173	821
174	173	818
175	174	815
176	174	812
177	175	809
178	175	806
179	176	804
180	177	803
181	178	804
182	179	801
183	180	799
184	180	796
185	181	795
186	183	795
187	183	794
188	184	792
189	185	791
190	186	788
191	187	788
192	188	787
193	189	788
194	190	786
195	191	783
196	192	783
197	193	781
198	193	779
199	194	777
200	195	777
201	196	775
202	197	774
203	198	774
204	199	773
205	200	771
206	200	769
207	201	766
208	202	767
209	204	767
210	204	765
211	205	764
212	206	764
213	207	763
214	208	760
215	208	757
216	209	756
217	210	755
218	211	752
219	212	752
220	213	751
221	213	748
222	214	747
223	215	745
224	215	743
225	216	741
226	217	741
227	218	738
228	219	738
229	219	736
230	220	733
231	221	732
232	222	732
233	223	730
234	224	730
235	225	731
236	226	729
237	227	729
238	228	727
239	229	727
240	230	725
241	231	723
242	231	721
243	232	720
244	233	718
245	233	716
246	234	713
247	234	711
248	235	709
249	236	709
250	237	709
251	238	707
252	239	706
253	240	705
254	240	703
255	241	701
256	242	701
257	243	701
258	244	699
259	245	697
260	246	698
261	247	698
262	249	698
263	250	697
264	250	694
265	251	692
266	251	691
267	253	691
268	253	689
269	254	689
270	255	688
271	257	690
272	259	691
273	260	688
274	260	686
275	261	684
276	261	682
277	262	680
278	263	679
279	263	678
280	264	677
281	265	677
282	266	675
283	267	674
284	268	673
285	269	671
286	269	670
287	271	670
288	273	671
289	273	670
290	275	670
291	276	670
292	277	668
293	277	667
294	278	666
295	279	664
296	279	662
297	280	660
298	280	658
299	281	656
300	282	655
301	283	655
302	284	655
303	285	654
304	287	654
305	288	654
306	289	652
307	289	651
308	290	650
309	292	650
310	292	649
311	293	647
312	294	647
313	295	645
314	296	643
315	297	644
316	298	642
317	299	641
318	299	640
319	301	639
320	302	638
321	302	637
322	303	636
323	304	634
324	305	633
325	306	632
326	306	631
327	307	629
328	308	629
329	309	628
330	309	626
331	310	625
332	311	624
333	313	624
334	314	624
335	315	623
336	317	625
337	319	625
338	321	625
339	321	624
340	322	622
341	322	620
342	324	620
343	325	620
344	326	619
345	327	619
346	328	618
347	329	617
348	331	617
349	332	617
350	333	616
